objectid,parentid,filename,title,creator,description,date,subject,location,latitude,longitude,format,type,image_thumb,image_small,object_location,source,identifier,language,rights,rightsstatement,collection
sns_1971_festival_pr,,sns_1971_festival_pr.pdf,"Program for Festival, 1971",Scotch'n'Soda Theatre,,1971,Program,,,,application/pdf,Text,objects/thumbs/sns_1971_festival_pr_th.jpg,objects/small/sns_1971_festival_pr_sm.jpg,/objects/sns_1971_festival_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1972_new_pr,,sns_1972_new_pr.pdf,"Program for A New Day, 1972",Scotch'n'Soda Theatre,,1972,Program,,,,application/pdf,Text,objects/thumbs/sns_1972_new_pr_th.jpg,objects/small/sns_1972_new_pr_sm.jpg,/objects/sns_1972_new_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1972_lord_pr,,sns_1972_lord_pr.pdf,"Program for Lord Have Mercy, 1973",Scotch'n'Soda Theatre,,1973,Program,,,,application/pdf,Text,objects/thumbs/sns_1972_lord_pr_th.jpg,objects/small/sns_1972_lord_pr_sm.jpg,/objects/sns_1972_lord_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1973_woodwind_pr,,sns_1973_woodwind_pr.pdf,"Program for Woodwind, 1973",Scotch'n'Soda Theatre,,1973,Program,,,,application/pdf,Text,objects/thumbs/sns_1973_woodwind_pr_th.jpg,objects/small/sns_1973_woodwind_pr_sm.jpg,/objects/sns_1973_woodwind_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1974_valley_pr,,sns_1974_valley_pr.pdf,"Program for Of the Valley, 1974",Scotch'n'Soda Theatre,,1974,Program,,,,application/pdf,Text,objects/thumbs/sns_1974_valley_pr_th.jpg,objects/small/sns_1974_valley_pr_sm.jpg,/objects/sns_1974_valley_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1975_amphitryon_pr,,sns_1975_amphitryon_pr.pdf,"Program for Amphitryon, 1975",Scotch'n'Soda Theatre,,1975,Program,,,,application/pdf,Text,objects/thumbs/sns_1975_amphitryon_pr_th.jpg,objects/small/sns_1975_amphitryon_pr_sm.jpg,/objects/sns_1975_amphitryon_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1976_glitz_pr,,sns_1976_glitz_pr.pdf,"Program for Glitz, 1976",Scotch'n'Soda Theatre,,1976,Program,,,,application/pdf,Text,objects/thumbs/sns_1976_glitz_pr_th.jpg,objects/small/sns_1976_glitz_pr_sm.jpg,/objects/sns_1976_glitz_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1976_glitz_po,,sns_1976_glitz_po.pdf,"Poster for Glitz, 1976",Scotch'n'Soda Theatre,,1976,Poster,,,,application/pdf,Image,objects/thumbs/sns_1976_glitz_po_th.jpg,objects/small/sns_1976_glitz_po_sm.jpg,/objects/sns_1976_glitz_po.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1977_something_pr,,sns_1977_something_pr.pdf,"Program for Something Feudal, 1977",Scotch'n'Soda Theatre,,1977,Program,,,,application/pdf,Text,objects/thumbs/sns_1977_something_pr_th.jpg,objects/small/sns_1977_something_pr_sm.jpg,/objects/sns_1977_something_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1979_watercolors_hb,,sns_1979_watercolors_hb.pdf,"Handbill for Watercolors, 1979",Scotch'n'Soda Theatre,,1979,Handbill,,,,application/pdf,Text,objects/thumbs/sns_1979_watercolors_hb_th.jpg,objects/small/sns_1979_watercolors_hb_sm.jpg,/objects/sns_1979_watercolors_hb.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
